Report: 
  data set: C201_200.csv
  type: narrow window - clustered
  vehicle capacity: 200
GA parameters: 
  generation span: 100  population size: 300
  tournament size: 3
  elitism: 0
  crossover rate: 0.8
  mutation rate: 0.1
  Fitness evaluation: Weighted Sum
  aplha: 100.0
  beta: 0.001
Generation | Best_Fitness | Average_Fitness | Deviation
0 1500.8974415080265 1396.165698294927 137.80866298098462
Generation | Best_Fitness | Average_Fitness | Deviation
1 1300.7929439302548 1322.2051333730954 139.37859394051011
2 1300.6916107784662 1277.8693316328913 136.82397036698666
3 1300.8241672642268 1256.8649347088203 140.49014890446722
4 1100.5814869836381 1243.204820343082 144.87101562526666
5 1000.725444849006 1229.5508101354603 140.1953016724478
6 1100.7325775715474 1244.555016156624 147.87572904863555
7 900.7030949685327 1247.9010621479265 147.4764798015309
8 1000.7826079289724 1232.5780048718636 144.56563733508236
9 1000.68275820075 1223.1999267383121 152.1034111325999
10 1200.785410157372 1210.8690045486578 145.25979760236388
11 1200.750453330383 1230.5276553476376 153.51724036761567
12 1200.792726617324 1209.5342718841828 153.64637105494327
13 1100.7263505513315 1206.5421462187257 154.95674574538563
14 1100.8047863729882 1217.8663687381645 145.6990115253476
15 1100.6814046199866 1209.5401798649666 154.50996130164762
16 1300.7602565608136 1192.20136660477 165.1125120094602
17 1000.6800643603822 1175.1861313526583 157.41508552258915
18 1100.6898406575997 1214.8872180868216 158.15781575607082
19 1000.6600116073387 1197.1870415188096 146.1590059539954
20 1200.7446685633695 1210.5246448373634 136.93080236307853
21 1100.6887266446158 1201.19539819168 152.7086662260604
22 1000.6538381512974 1185.885872673748 134.95445634012734
23 1000.7075601425181 1196.2033510813806 143.24555961657776
24 1100.6463943150939 1204.5229291345472 146.5866121767603
25 1000.7116814813378 1189.2042981383652 142.45693983804622
26 1000.7625233918732 1201.1848060349812 150.67696025617053
27 1100.6763587090888 1193.844481990124 144.90228995044217
28 1100.7085861485875 1188.8298813788022 141.67539320411058
29 1200.7359176341313 1180.8609033614432 138.36747509221962
30 1000.7251022898699 1173.8919133402649 141.7978215737843
31 1100.7166327159073 1184.553085938389 144.1024099166294
32 1200.734002863173 1165.2430980166662 143.15847772256572
33 1300.7928921976893 1175.2493393477116 150.8913314132348
34 900.5757500538791 1171.248024288231 144.2632514780121
35 1300.815802129258 1173.221153828166 142.82360582133512
36 1100.614715577483 1166.1633665774386 147.48234941717178
37 1100.7013660724099 1161.5213255786598 145.36777255059775
38 1000.7183970245997 1162.864017614464 146.60425224362618
39 900.6487866240745 1139.84869950095 139.69142617648023
40 1000.7398487263476 1164.1308181242769 143.984497824292
41 1100.7597864060167 1153.502727587386 143.17088526490244
42 1000.6515217058079 1137.5005179843813 143.06797068191895
43 1000.7538459045943 1126.1790032391893 143.2067414569501
44 800.5369705023036 1132.4967671746683 149.6013872169245
45 1000.5980110643611 1117.7971897707082 143.84734069263297
46 900.5929332214315 1089.1195254115144 144.60079526677345
47 800.596896069488 1076.78624877268 133.52329103823823
48 1200.77955950114 1083.4685926392133 141.567957254375
49 1100.642617614929 1074.7761866850096 140.960199131225
50 900.6177359184559 1064.086556179474 153.65706835180055
51 1100.6690457506618 1051.782195086867 143.01068851322643
52 1100.7452083149904 1054.4340051993336 132.27612165968907
53 1100.6651760818615 1066.7822836393916 138.27405299756305
54 1000.6873919923152 1062.440563226078 150.71230159176332
55 1000.6792011409964 1030.4238778528336 153.96886585777983
56 800.5697463510096 1013.7695456815077 143.80122386371164
57 900.5926343376894 1016.4383785282246 135.13218179375204
58 800.6419837457956 1008.7716441740965 129.3686737211367
59 900.6297417653986 1018.4524015013088 138.99209790207178
60 800.5510117314088 1002.4193662319948 143.6815463904787
61 800.5489512024592 993.4001812070369 140.09863589713825
